signature,name,first_occurrence_page,first_occurrence_evidence,regex_patterns,replacement_rule,occurrences
c4c5_thu_total_hydrogenation_unit_capacity,C4/C5 THU Total Hydrogenation Unit Capacity,11,C4/C5 THUTotal Hydrogenation Unit 175 KTA,"(c4/c5\ thu\ total\ hydrogenation\ unit\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (c4/c5\ thu\ total\ hydrogenation\ unit\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'C4/C5 THU Total Hydrogenation Unit Capacity' only; remove numeric values; optionally append <c4c5_thu_total_hydrogenation_unit_capacity>,1
pygas_hydrotreating_unit_pghu_capacity,Pygas Hydrotreating Unit (PGHU) Capacity,11,Pygas Hydrotreating Unit (PGHU) 116 KTA,"(pygas\ hydrotreating\ unit\ \(pghu\)\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (pygas\ hydrotreating\ unit\ \(pghu\)\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Pygas Hydrotreating Unit (PGHU) Capacity' only; remove numeric values; optionally append <pygas_hydrotreating_unit_pghu_capacity>,1
c6_c9_hydrodealkylation_unit_hda_capacity,C6-C9 Hydrodealkylation Unit (HDA) Capacity,11,C6-C9 Hydrodealkylation Unit (HDA) 73 KTA,"(c6\-c9\ hydrodealkylation\ unit\ \(hda\)\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (c6\-c9\ hydrodealkylation\ unit\ \(hda\)\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'C6-C9 Hydrodealkylation Unit (HDA) Capacity' only; remove numeric values; optionally append <c6_c9_hydrodealkylation_unit_hda_capacity>,1
benzene_extraction_unit_beu_capacity,Benzene Extraction Unit (BEU) Capacity,11,Benzene Extraction Unit (BEU) 56 KTA,"(benzene\ extraction\ unit\ \(beu\)\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (benzene\ extraction\ unit\ \(beu\)\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Benzene Extraction Unit (BEU) Capacity' only; remove numeric values; optionally append <benzene_extraction_unit_beu_capacity>,1
maximum_net_energy_consumption,Maximum Net Energy Consumption,11,"The maximum case net energy consumption is estimated to be 3,032,226 Gigacalories per year (Gcal/yr).","(maximum\ net\ energy\ consumption)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (maximum\ net\ energy\ consumption)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Maximum Net Energy Consumption' only; remove numeric values; optionally append <maximum_net_energy_consumption>,1
makeup_water_requirement,Makeup Water Requirement,11,"Approximately 1,000 tonnes per hour (TPH) of makeup water will be required to operate the refinery-petrochemical facilities.","(makeup\ water\ requirement)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (makeup\ water\ requirement)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Makeup Water Requirement' only; remove numeric values; optionally append <makeup_water_requirement>,1
freshwater_consumption,Freshwater Consumption,11,"If the facilities operate continuously for a total 8,000 hours in a year, that represents 8 million cubic meters of freshwater consumption.","(freshwater\ consumption)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (freshwater\ consumption)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Freshwater Consumption' only; remove numeric values; optionally append <freshwater_consumption>,1
sea_water_cooling_system_duty_load,Sea Water Cooling System Duty Load,11,The sea water cooling system duty load is 620 MW.,"(sea\ water\ cooling\ system\ duty\ load)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (sea\ water\ cooling\ system\ duty\ load)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Sea Water Cooling System Duty Load' only; remove numeric values; optionally append <sea_water_cooling_system_duty_load>,2
sea_water_requirement,Sea Water Requirement,11,"The sea water cooling system duty load is assumed as requiring up to 107,000 cubic meters per hour (m3/hr).","(sea\ water\ requirement)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (sea\ water\ requirement)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Sea Water Requirement' only; remove numeric values; optionally append <sea_water_requirement>,1
maximum_sea_water_temperature_rise,Maximum Sea Water Temperature Rise,11,with a maximum sea water temperature rise of 5°C within the mixing zone.,"(maximum\ sea\ water\ temperature\ rise)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (maximum\ sea\ water\ temperature\ rise)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Maximum Sea Water Temperature Rise' only; remove numeric values; optionally append <maximum_sea_water_temperature_rise>,2
air_pollutants,Air pollutants,12,"Air Emissions include pollutants such as sulfur oxides (SOx/SO₂), nitrogen oxides (NOx), volatile organic compounds (VOCs), and particulate matter (PM).","(air\ pollutants)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (air\ pollutants)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Air pollutants' only; remove numeric values; optionally append <air_pollutants>,1
maximum_daytime_sound_level,Maximum daytime sound level,12,"Typically, this is 70 dB(A) Leq (i.e., 70 dB(A) equivalent continuous sound level).","(maximum\ daytime\ sound\ level)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (maximum\ daytime\ sound\ level)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Maximum daytime sound level' only; remove numeric values; optionally append <maximum_daytime_sound_level>,1
greenhouse_gas_emissions,Greenhouse gas emissions,12,"Releases of carbon dioxide (CO₂) and methane (CH₄) from the complex, in tonnes of carbon dioxide equivalent (CO₂-Eq), are estimated at 2.072 million tonnes per year (TPY).","(greenhouse\ gas\ emissions)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (greenhouse\ gas\ emissions)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Greenhouse gas emissions' only; remove numeric values; optionally append <greenhouse_gas_emissions>,1
refinery_emissions,Refinery emissions,12,"Refinery 300, 000 TPY.","(refinery\ emissions)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (refinery\ emissions)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Refinery emissions' only; remove numeric values; optionally append <refinery_emissions>,1
petrochemicals_emissions,Petrochemicals emissions,12,"Petrochemicals 1,772,000 TPY.","(petrochemicals\ emissions)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (petrochemicals\ emissions)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Petrochemicals emissions' only; remove numeric values; optionally append <petrochemicals_emissions>,1
distance_from_aubeon_village,Distance from Aubeon Village,12,An initial site assessment reveals that the refinery will be located approximately one kilometer from Aubeon Village.,"(distance\ from\ aubeon\ village)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (distance\ from\ aubeon\ village)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Distance from Aubeon Village' only; remove numeric values; optionally append <distance_from_aubeon_village>,1
waste_management,Waste management,12,Contaminated soil and absorbent materials will be handled as hazardous waste.,"(waste\ management)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (waste\ management)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Waste management' only; remove numeric values; optionally append <waste_management>,1
effluent_treatment,Effluent treatment,12,"All wastewaters contaminated with hydrocarbons, metals, and other elements and compounds, prior to discharge into surface water bodies, will be treated in an industrial wastewater treatment plant (IWTP) designed to international standards.","(effluent\ treatment)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (effluent\ treatment)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Effluent treatment' only; remove numeric values; optionally append <effluent_treatment>,1
biodiversity_impact,Biodiversity impact,12,"The site development plans will disturb local ecosystems, with likely the greater effects due to the LNG complex and seaport adjacent to the north.","(biodiversity\ impact)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (biodiversity\ impact)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Biodiversity impact' only; remove numeric values; optionally append <biodiversity_impact>,1
project_site_area_for_main_facilities,Project site area for main facilities,13,"The overall Project site encompasses approximately 1,050 hectares for main facilities","(project\ site\ area\ for\ main\ facilities)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (project\ site\ area\ for\ main\ facilities)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Project site area for main facilities' only; remove numeric values; optionally append <project_site_area_for_main_facilities>,1
additional_area_for_offices_and_services,Additional area for offices and services,13,an additional 100 hectares allocated for offices and services,"(additional\ area\ for\ offices\ and\ services)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (additional\ area\ for\ offices\ and\ services)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Additional area for offices and services' only; remove numeric values; optionally append <additional_area_for_offices_and_services>,1
area_designated_for_new_village_residential_development,Area designated for 'New Village' residential development,13,A separate area of 292 hectares has been designated for a 'New Village' residential development,"(area\ designated\ for\ 'new\ village'\ residential\ development)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (area\ designated\ for\ 'new\ village'\ residential\ development)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Area designated for 'New Village' residential development' only; remove numeric values; optionally append <area_designated_for_new_village_residential_development>,1
estimated_construction_phase_duration,Estimated construction phase duration,13,The construction phase is estimated at 6 years,"(estimated\ construction\ phase\ duration)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (estimated\ construction\ phase\ duration)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Estimated construction phase duration' only; remove numeric values; optionally append <estimated_construction_phase_duration>,1
project_category_classification,Project category classification,13,Greencorp concurs that the Project should be classified as an IFC Category A project,"(project\ category\ classification)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (project\ category\ classification)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Project category classification' only; remove numeric values; optionally append <project_category_classification>,1
expected_environmental_impacts_containment,Expected environmental impacts containment,13,"The scale and scope of potential environmental and social impacts are limited, with the facility's design incorporating measures to minimize emissions, effluents, and discharges","(expected\ environmental\ impacts\ containment)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (expected\ environmental\ impacts\ containment)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Expected environmental impacts containment' only; remove numeric values; optionally append <expected_environmental_impacts_containment>,1
continuous_gas_flaring_during_operations,Continuous gas flaring during operations,13,"Notably, no continuous gas flaring is planned during operations","(continuous\ gas\ flaring\ during\ operations)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (continuous\ gas\ flaring\ during\ operations)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Continuous gas flaring during operations' only; remove numeric values; optionally append <continuous_gas_flaring_during_operations>,1
environmental_basic_law,Environmental Basic Law,14,"The Natarbora Project environmental compliance framework is primarily governed by Timor-Leste's Environment Basic Law, known as Decree Law No. 26 of 2012.","(environmental\ basic\ law)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (environmental\ basic\ law)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Environmental Basic Law' only; remove numeric values; optionally append <environmental_basic_law>,1
legal_authorization_for_environmental_basic_legislation,Legal Authorization for Environmental Basic Legislation,14,This decree in lieu of legislation implements Law No. 3 of 2012 on Legal Authorization for Environmental Basic Legislation (13 January 2012).,"(legal\ authorization\ for\ environmental\ basic\ legislation)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (legal\ authorization\ for\ environmental\ basic\ legislation)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Legal Authorization for Environmental Basic Legislation' only; remove numeric values; optionally append <legal_authorization_for_environmental_basic_legislation>,1
category_a_projects_requirement,Category A Projects requirement,14,Category A Projects require an Environmental Impact Statement and Environmental Management Plan.,"(category\ a\ projects\ requirement)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (category\ a\ projects\ requirement)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Category A Projects requirement' only; remove numeric values; optionally append <category_a_projects_requirement>,1
category_b_and_c_projects_requirement,Category B and C Projects requirement,14,"Categories B and C Projects require an Initial Environmental Examination, 'when applicable,' and an Environmental Management Plan.","(category\ b\ and\ c\ projects\ requirement)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (category\ b\ and\ c\ projects\ requirement)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Category B and C Projects requirement' only; remove numeric values; optionally append <category_b_and_c_projects_requirement>,1
sensitive_ecosystems_classification,Sensitive ecosystems classification,14,All projects affecting sensitive ecosystems including mangroves are Category A.,"(sensitive\ ecosystems\ classification)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (sensitive\ ecosystems\ classification)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Sensitive ecosystems classification' only; remove numeric values; optionally append <sensitive_ecosystems_classification>,1
ministerial_decision_no_442017,Ministerial Decision No. 44/2017,14,Supporting regulations include: Ministerial Decision No. 44/2017 Regulation on Impact and Benefits Agreement (Environmental Impact and Compensation Agreement for Category A Projects).,"(ministerial\ decision\ no\.\ 44/2017)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ministerial\ decision\ no\.\ 44/2017)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Ministerial Decision No. 44/2017' only; remove numeric values; optionally append <ministerial_decision_no_442017>,1
ministerial_decision_no_45_of_2017,Ministerial Decision No. 45 of 2017,14,Ministerial Decision No. 45 of 2017 Regulation on Statute and Rules of Procedure for Evaluation Committee for Management of Environmental Assessment Process for Category A Projects.,"(ministerial\ decision\ no\.\ 45\ of\ 2017)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ministerial\ decision\ no\.\ 45\ of\ 2017)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Ministerial Decision No. 45 of 2017' only; remove numeric values; optionally append <ministerial_decision_no_45_of_2017>,1
ministerial_decision_no_46_of_2017,Ministerial Decision No. 46 of 2017,14,"Ministerial Decision No. 46 of 2017 Regulation on Detailed Requirements for Screening, Definition of Scope and Terms of Reference of Environmental Impact Assessment and Environmental Management Plans for Environmental Evaluation.","(ministerial\ decision\ no\.\ 46\ of\ 2017)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ministerial\ decision\ no\.\ 46\ of\ 2017)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Ministerial Decision No. 46 of 2017' only; remove numeric values; optionally append <ministerial_decision_no_46_of_2017>,1
ministerial_decision_no_47_of_2017,Ministerial Decision No. 47 of 2017,14,Ministerial Decision No. 47 of 2017 Regulation on Procedures for Public Consultation and Requirements during Process of Environmental Assessment.,"(ministerial\ decision\ no\.\ 47\ of\ 2017)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ministerial\ decision\ no\.\ 47\ of\ 2017)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Ministerial Decision No. 47 of 2017' only; remove numeric values; optionally append <ministerial_decision_no_47_of_2017>,1
environmental_licensing_system,Environmental Licensing System,14,"Decree-Law No. 5/2011 on Environmental Licensing System (04 February 2011 rev, 8 June 2022).","(environmental\ licensing\ system)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (environmental\ licensing\ system)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Environmental Licensing System' only; remove numeric values; optionally append <environmental_licensing_system>,1
national_environmental_licensing_agency,National Environmental Licensing Agency,14,"Under Decree-Law No. 5/2011, environmental permits for projects in Timor-Leste are under the jurisdiction of the National Environmental Licensing Agency (Agencia Nacional de Licensiamento Ambiental), ANLA.","(national\ environmental\ licensing\ agency)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (national\ environmental\ licensing\ agency)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'National Environmental Licensing Agency' only; remove numeric values; optionally append <national_environmental_licensing_agency>,1
establishment_of_anla,Establishment of ANLA,14,ANLA was established by Decree-Law No. 15/2019 as a division of the Secretary of State for Environment.,"(establishment\ of\ anla)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (establishment\ of\ anla)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Establishment of ANLA' only; remove numeric values; optionally append <establishment_of_anla>,1
maximum_review_period,Maximum review period,15,Max. 50 days for review,"(maximum\ review\ period)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (maximum\ review\ period)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Maximum review period' only; remove numeric values; optionally append <maximum_review_period>,1
number_of_terrestrial_and_marine_protected_areas,Number of Terrestrial and Marine Protected Areas,15,The Annex established 46 Terrestrial and Marine Protected Areas.,"(number\ of\ terrestrial\ and\ marine\ protected\ areas)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (number\ of\ terrestrial\ and\ marine\ protected\ areas)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Number of Terrestrial and Marine Protected Areas' only; remove numeric values; optionally append <number_of_terrestrial_and_marine_protected_areas>,1
decree_law_no_for_urban_solid_waste_management_system,Decree-Law No. for Urban Solid Waste Management System,15,Decree-Law No. 2/2017 Approving Urban Solid Waste Management System.,"(decree\-law\ no\.\ for\ urban\ solid\ waste\ management\ system)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (decree\-law\ no\.\ for\ urban\ solid\ waste\ management\ system)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Decree-Law No. for Urban Solid Waste Management System' only; remove numeric values; optionally append <decree_law_no_for_urban_solid_waste_management_system>,1
decree_law_no_for_biodiversity_protection_and_conservation,Decree-Law No. for Biodiversity Protection and Conservation,15,Decree-Law No. 6/2020 Legal Framework for Biodiversity Protection and Conservation in Timor-Leste.,"(decree\-law\ no\.\ for\ biodiversity\ protection\ and\ conservation)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (decree\-law\ no\.\ for\ biodiversity\ protection\ and\ conservation)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Decree-Law No. for Biodiversity Protection and Conservation' only; remove numeric values; optionally append <decree_law_no_for_biodiversity_protection_and_conservation>,1
decree_law_no_for_national_development_programme_for_rural_villages,Decree-Law No. for National Development Programme for Rural Villages,15,Decree-Law No. 08/2013 on National Development Programme for Rural Villages 'Sucos'.,"(decree\-law\ no\.\ for\ national\ development\ programme\ for\ rural\ villages)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (decree\-law\ no\.\ for\ national\ development\ programme\ for\ rural\ villages)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Decree-Law No. for National Development Programme for Rural Villages' only; remove numeric values; optionally append <decree_law_no_for_national_development_programme_for_rural_villages>,1
joint_ministerial_order_no_for_regulation_on_powers_of_municipal_authorities,Joint Ministerial Order No. for Regulation on Powers of Municipal Authorities,15,Joint Ministerial Order No. 43/2017 approving Regulation on Powers of Municipal Authorities and Municipal Administrations in Fields of Water and Sanitation.,"(joint\ ministerial\ order\ no\.\ for\ regulation\ on\ powers\ of\ municipal\ authorities)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (joint\ ministerial\ order\ no\.\ for\ regulation\ on\ powers\ of\ municipal\ authorities)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Joint Ministerial Order No. for Regulation on Powers of Municipal Authorities' only; remove numeric values; optionally append <joint_ministerial_order_no_for_regulation_on_powers_of_municipal_authorities>,1
adoption_of_international_finance_corporation_performance_standards,Adoption of International Finance Corporation Performance Standards,15,The Project for developing the Oil Refinery and Petrochemical complex has adopted the International Finance Corporation (IFC) Performance Standards (PS).,"(adoption\ of\ international\ finance\ corporation\ performance\ standards)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (adoption\ of\ international\ finance\ corporation\ performance\ standards)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Adoption of International Finance Corporation Performance Standards' only; remove numeric values; optionally append <adoption_of_international_finance_corporation_performance_standards>,1
adoption_of_environmental_health_and_safety_guidelines,"Adoption of Environmental, Health, and Safety Guidelines",15,"The Project for developing the Oil Refinery and Petrochemical complex has adopted the Environmental, Health, and Safety (EHS) Guidelines.","(adoption\ of\ environmental,\ health,\ and\ safety\ guidelines)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (adoption\ of\ environmental,\ health,\ and\ safety\ guidelines)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)","Keep 'Adoption of Environmental, Health, and Safety Guidelines' only; remove numeric values; optionally append <adoption_of_environmental_health_and_safety_guidelines>",1
air_emission_limits_for_combustion_sources,Air emission limits for combustion sources,16,The Project's air emission limits for exhaust emissions of combustion source emissions with a capacity of up to 50 MWth are to comply with IFC General EHS Guidelines.,"(air\ emission\ limits\ for\ combustion\ sources)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (air\ emission\ limits\ for\ combustion\ sources)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Air emission limits for combustion sources' only; remove numeric values; optionally append <air_emission_limits_for_combustion_sources>,1
health_and_safety_framework,Health and safety framework,16,The Project's health and safety framework is primarily governed by the IFC EHS Guidelines for Petroleum Refining.,"(health\ and\ safety\ framework)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (health\ and\ safety\ framework)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Health and safety framework' only; remove numeric values; optionally append <health_and_safety_framework>,1
hazardous_area_classification_standards,Hazardous area classification standards,16,Classification of hazardous areas within the site follows American Petroleum Institute Recommended Practice (API RP 500) standards.,"(hazardous\ area\ classification\ standards)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (hazardous\ area\ classification\ standards)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Hazardous area classification standards' only; remove numeric values; optionally append <hazardous_area_classification_standards>,1
equipment_certification_standards,Equipment certification standards,16,specific requirements for explosion-proof equipment certified by RIIS (IEC 60079-11:2023) or other internationally recognized authorities.,"(equipment\ certification\ standards)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (equipment\ certification\ standards)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Equipment certification standards' only; remove numeric values; optionally append <equipment_certification_standards>,1
climate_influence,Climate influence,16,The climate of Timor-Leste is predominantly influenced by the Asian tropical monsoon system.,"(climate\ influence)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (climate\ influence)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Climate influence' only; remove numeric values; optionally append <climate_influence>,1
wet_season_duration,Wet season duration,16,"The wet season, spanning December to May, with peak rainfall typically occurring in January, February, or March.","(wet\ season\ duration)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (wet\ season\ duration)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Wet season duration' only; remove numeric values; optionally append <wet_season_duration>,1
dry_season_duration,Dry season duration,16,"The dry season, from June to November, with September and October being the driest months.","(dry\ season\ duration)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (dry\ season\ duration)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Dry season duration' only; remove numeric values; optionally append <dry_season_duration>,1
temperature_variability,Temperature variability,16,"Temperatures are much less variable than rainfall, though obviously also lower at higher elevations than near sea level.","(temperature\ variability)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (temperature\ variability)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Temperature variability' only; remove numeric values; optionally append <temperature_variability>,1
temperature_data_range,Temperature data range,16,Figure 4-1 graphs average maximum and minimum monthly temperatures at Natabora from 1958 to 2023.,"(temperature\ data\ range)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (temperature\ data\ range)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Temperature data range' only; remove numeric values; optionally append <temperature_data_range>,1
maximum_monthly_temperature_range,Maximum monthly temperature range,17,Average maximum monthly temperatures generally range between 30°C and 32°C.,"(maximum\ monthly\ temperature\ range)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (maximum\ monthly\ temperature\ range)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Maximum monthly temperature range' only; remove numeric values; optionally append <maximum_monthly_temperature_range>,1
minimum_monthly_temperature_range,Minimum monthly temperature range,17,Average minimums between 20°C and 23°C.,"(minimum\ monthly\ temperature\ range)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (minimum\ monthly\ temperature\ range)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Minimum monthly temperature range' only; remove numeric values; optionally append <minimum_monthly_temperature_range>,1
